run_id,Q,N,loop,estimator,T,time,estimation_error_norm
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.62,0.474186
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.62,0.782686
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.62,0.33292
52f3cac1,Q1,10,1,EKF,30,0.63,0.317345
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.63,0.459319
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.63,0.778377
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.63,0.338043
52f3cac1,Q1,10,1,EKF,30,0.64,0.321795
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.64,0.469702
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.64,0.731457
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.64,0.33247
52f3cac1,Q1,10,1,EKF,30,0.65,0.319602
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.65,0.455639
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.65,0.717744
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.65,0.335194
52f3cac1,Q1,10,1,EKF,30,0.66,0.320752
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.66,0.459231
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.66,0.679316
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.66,0.318765
52f3cac1,Q1,10,1,EKF,30,0.67,0.31362
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.67,0.440558
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.67,0.666041
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.67,0.312905
52f3cac1,Q1,10,1,EKF,30,0.68,0.322878
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.68,0.459282
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.68,0.612628
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.68,0.298125
52f3cac1,Q1,10,1,EKF,30,0.69,0.32408
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.69,0.458995
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.69,0.579894
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.69,0.2895
52f3cac1,Q1,10,1,EKF,30,0.7,0.331634
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.7,0.462788
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.7,0.551295
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.7,0.292535
52f3cac1,Q1,10,1,EKF,30,0.71,0.341623
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.71,0.471212
